map_variant_file_name,game_variant_file_name,weight,minimum_player_count,skip_after_veto,optional
default_guardian,rumble_slayer,6,4,false,false
ffa_snowbound,rumble_slayer,6,4,false,false
year2_epitaph_epilogue,rumble_slayer,6,4,false,false
default_narrows,rumble_slayer,5,4,false,false
default_the_pit,rumble_slayer,5,4,false,false
default_construct,rumble_slayer,5,4,false,false
default_isolation,rumble_slayer,5,4,false,false
default_blackout,rumble_slayer,5,6,false,false
default_ghost_town,rumble_slayer,5,6,false,false
default_cold_storage,rumble_slayer,6,6,false,false
default_assembly,rumble_slayer,6,4,false,false
default_sandbox,rumble_slayer,6,6,false,false
default_citadel,rumble_slayer,6,6,false,false
default_foundry,10_min_slayer_br,5,6,false,false
default_rats_nest,10_min_slayer_br,4,6,false,false
default_standoff,10_min_slayer_br,4,6,false,false
default_blackout,10_min_slayer_br,8,6,false,false
default_ghost_town,10_min_slayer_br,8,6,false,false
default_cold_storage,10_min_slayer_br,8,6,false,false
default_assembly,10_min_slayer_br,6,4,false,false
default_sandbox,10_min_slayer_br,6,6,false,false
default_heretic,10_min_slayer_br,8,6,false,false
default_guardian,rumble_oddball,2,4,false,false
default_blackout,rumble_oddball,5,6,false,false
default_ghost_town,rumble_oddball,5,6,false,false
default_cold_storage,rumble_oddball,2,6,false,false
default_assembly,rumble_oddball,5,4,false,false
default_heretic,rumble_oddball,4,4,false,false
default_guardian,ninjaball,2,4,true,false
ffa_snowbound,ninjaball,2,4,true,false
default_construct,ninjaball,2,4,true,false
default_assembly,ninjaball,2,4,true,false
default_narrows,rumble_crazy_king,2,4,false,false
default_the_pit,rumble_crazy_king,2,4,false,false
default_guardian,rumble_crazy_king,2,4,false,false
default_assembly,rumble_crazy_king,2,4,false,false
default_guardian,mosh_pit_king,2,4,true,false
default_narrows,mosh_pit_king,2,4,true,false
default_the_pit,mosh_pit_king,2,4,true,false
default_narrows,juggernaut,2,6,false,false
year2_the_pit_pitstop,juggernaut,2,6,false,false
year2_epitaph_epilogue,juggernaut,2,6,false,false
default_guardian,juggernaut,2,6,false,false
default_guardian,rumble_swords,2,4,true,false
ffa_snowbound,rumble_swords,2,4,true,false
default_epitaph,rumble_swords,2,4,true,false
default_narrows,rumble_swords,2,4,true,false
swat_pit,rumble_swords,2,4,true,false
default_construct,rumble_swords,2,4,true,false
default_blackout,rumble_swords,2,6,true,false
default_ghost_town,rumble_swords,2,6,true,false
default_cold_storage,rumble_swords,2,6,true,false
default_citadel,rumble_swords,2,6,true,false
inf_foundry_haunted_manor,braaaains,3,6,false,false
inf_rats_nest_bubonic,braaaains,3,6,false,false
inf_blackout_deadlock,braaaains,3,6,false,false
inf_ghost_town_ghoul_town,braaaains,3,6,false,false
inf_cold_storage_rigor_mortis,braaaains,3,6,false,false
inf_assembly_dismember,braaaains,3,6,false,false
inf_orbital_andromeda,save_one_bullet,4,6,false,false
inf_sandbox_spookyhouse,save_one_bullet,4,6,false,false
inf_longshore_deaddocks,save_one_bullet,5,8,false,false
