map_variant_file_name,game_variant_file_name,weight,minimum_player_count,skip_after_veto,optional
default_guardian,team_slayer,15,6,false,false
default_construct,team_slayer,9,6,false,false
default_high_ground,team_slayer,9,6,false,false
default_narrows,team_slayer,15,6,false,false
default_isolation,team_slayer,15,8,false,false
year2_the_pit_pitstop,team_slayer,15,6,false,false
default_valhalla,team_slayer,3,8,false,false
default_standoff,team_slayer,15,8,false,true
default_foundry,team_slayer,15,6,false,true
default_blackout,team_slayer,9,6,false,true
default_ghost_town,team_slayer,15,6,false,true
year2_snowbound_boundless,team_slayer,15,6,false,false
default_assembly,team_slayer,15,6,false,true
default_orbital,team_slayer,15,8,false,true
default_sandbox,team_slayer,15,8,false,true
sandbox_vindictive,team_slayer,7,8,true,true
sandbox_tundra,team_slayer,7,8,true,true
sandbox_wastelands,team_slayer,7,8,true,true
atlas_reminiscent,team_slayer,7,8,true,true
default_citadel,team_slayer,15,8,false,true
default_heretic,team_slayer,15,8,false,true
default_guardian,team_slayer_br,3,6,false,false
default_construct,team_slayer_br,2,6,false,false
default_high_ground,team_slayer_br,3,6,false,false
default_narrows,team_slayer_br,3,6,false,false
default_isolation,team_slayer_br,2,8,false,false
default_valhalla,team_slayer_br,2,8,false,false
default_standoff,team_slayer_br,3,8,false,true
default_foundry,team_slayer_br,3,6,false,true
default_blackout,team_slayer_br,3,6,false,true
default_ghost_town,team_slayer_br,3,6,false,true
year2_snowbound_boundless,team_slayer_br,5,6,false,false
year2_the_pit_pitstop,team_slayer_br,3,6,false,false
default_assembly,team_slayer_br,6,6,false,true
default_orbital,team_slayer_br,5,8,false,true
default_sandbox,team_slayer_br,5,8,false,true
sandbox_vindictive,team_slayer_br,3,8,true,true
sandbox_tundra,team_slayer_br,3,8,true,true
sandbox_wastelands,team_slayer_br,3,8,true,true
atlas_pantheon,team_slayer_br,2,8,true,true
default_citadel,team_slayer_br,15,8,false,true
default_heretic,team_slayer_br,15,8,false,true
