map_variant_file_name,game_variant_file_name,weight,minimum_player_count,skip_after_veto,optional
swat_guardian,team_swat,6,6,false,false
swat_snowbound,team_swat,4,6,false,false
swat_epitaph,team_swat,4,6,false,false
swat_construct,team_swat,5,6,false,false
swat_pit,team_swat,5,6,false,false
swat_foundry,team_swat,5,6,false,false
swat_ground,team_swat,4,6,false,false
swat_isolation,team_swat,4,6,false,false
swat_narrows,team_swat,4,8,false,false
swat_rats_nest,team_swat,5,8,false,false
swat_blackout,team_swat,7,6,false,false
swat_ghost_town,team_swat,7,8,false,false
swat_cold_storage,team_swat,5,6,false,false
swat_assembly,team_swat,7,6,false,false
swat_orbital,team_swat,4,8,false,false
sandbox_tundra_swat,team_swat,3,6,true,false
swat_citadel,team_swat,7,6,false,false
swat_heretic,team_swat,7,6,false,false
swat_guardian,team_swat_magnums,1,6,true,false
swat_construct,team_swat_magnums,1,6,true,false
swat_pit,team_swat_magnums,1,6,true,false
swat_foundry,team_swat_magnums,1,6,true,false
swat_isolation,team_swat_magnums,1,8,true,false
swat_blackout,team_swat_magnums,1,6,true,false
swat_ghost_town,team_swat_magnums,1,8,true,false
swat_cold_storage,team_swat_magnums,1,6,true,false
swat_assembly,team_swat_magnums,1,6,true,false
swat_citadel,team_swat_magnums,1,6,true,false
swat_heretic,team_swat_magnums,1,6,true,false
swat_guardian,team_swat_shotguns,1,6,true,false
swat_epitaph,team_swat_shotguns,1,6,true,false
swat_blackout,team_swat_shotguns,1,6,true,false
swat_snowbound,team_swat_shotguns,1,6,true,false
swat_ghost_town,team_swat_shotguns,1,8,true,false
swat_cold_storage,team_swat_shotguns,1,6,true,false
swat_assembly,team_swat_shotguns,1,6,true,false
sandbox_tundra_swat,team_swat_shotguns,1,6,true,false
swat_snowbound,team_swat_2flag,2,6,true,false
swat_pit,team_swat_2flag,2,6,true,false
swat_assembly,team_swat_2flag,2,6,true,false
swat_snowbound,team_swat_oddball,2,6,true,false
swat_pit,team_swat_oddball,1,6,true,false
swat_foundry,team_swat_oddball,1,6,true,false
swat_assembly,team_swat_oddball,1,6,true,false
