map_variant_file_name,game_variant_file_name,weight,minimum_player_count,skip_after_veto
default_snowbound,team_swat,6,6,true
default_high_ground,team_swat,4,6,false
default_snowbound,team_swat,4,6,true
default_high_ground,team_swat_magnums,1,6,true
default_snowbound,team_swat_magnums,1,6,true
default_high_ground,team_swat_shotguns,1,6,true
default_snowbound,team_swat_shotguns,1,6,true
default_high_ground,team_swat_2flag,2,6,true
default_snowbound,team_swat_2flag,2,6,true
default_high_ground,team_swat_oddball,2,6,true
default_snowbound,team_swat_oddball,1,6,true
default_high_ground,team_swat_oddball,1,6,true
