map_variant_file_name,game_variant_file_name,weight,minimum_player_count,skip_after_veto,optional
default_construct,5v5_team_slayer,4,6,false,false
default_high_ground,5v5_team_slayer,4,6,false,false
default_narrows,5v5_team_slayer,5,6,false,false
year2_snowbound_boundless,5v5_team_slayer,4,6,false,false
year2_the_pit_pitstop,5v5_team_slayer,4,6,false,false
default_last_resort,5v5_team_slayer,5,7,false,false
default_valhalla,5v5_team_slayer,5,7,false,false
default_standoff,5v5_team_slayer,5,7,false,true
default_rats_nest,5v5_team_slayer,4,6,false,true
default_ghost_town,5v5_team_slayer,5,6,false,true
default_citadel,5v5_team_slayer,5,6,false,true
default_heretic,5v5_team_slayer,5,6,false,true
default_construct,team_rockets,1,5,true,false
default_narrows,team_rockets,1,5,true,false
default_the_pit,team_rockets,1,5,true,false
default_valhalla,team_rockets,1,7,true,false
year2_snowbound_boundless,team_rockets,1,5,true,false
default_standoff,team_rockets,1,7,true,true
default_ghost_town,team_rockets,1,5,true,true
default_guardian,team_slayer_duals,2,5,true,false
year2_snowbound_boundless,team_slayer_duals,3,5,true,false
default_ghost_town,team_slayer_duals,2,5,true,true
default_citadel,team_slayer_duals,5,5,true,true
default_heretic,team_slayer_duals,5,5,true,true
default_guardian,team_slayer_br,2,6,false,false
default_construct,team_slayer_br,2,6,false,false
default_high_ground,team_slayer_br,1,6,false,false
default_narrows,team_slayer_br,1,6,false,false
year2_snowbound_boundless,team_slayer_br,2,6,false,false
default_the_pit,team_slayer_br,2,6,false,false
default_last_resort,team_slayer_br,2,8,false,false
default_valhalla,team_slayer_br,2,8,false,false
default_standoff,team_slayer_br,2,8,false,true
default_ghost_town,team_slayer_br,2,6,false,true
default_citadel,team_slayer_br,5,6,false,true
default_heretic,team_slayer_br,5,6,false,true
default_longshore,team_slayer_br,5,8,false,true
