game_variant,map_variant,minimum_players,weight,skip_after_veto,optional
rumble_slayer,default_guardian,4,6,false,false
rumble_slayer,ffa_snowbound,4,6,false,false
rumble_slayer,year2_epitaph_epilogue,4,6,false,false
rumble_slayer,default_narrows,4,5,false,false
rumble_slayer,default_the_pit,4,5,false,false
rumble_slayer,default_construct,4,5,false,false
rumble_slayer,default_isolation,4,5,false,false
rumble_slayer,default_blackout,6,5,false,false
rumble_slayer,default_ghost_town,6,5,false,false
rumble_slayer,default_cold_storage,6,6,false,false
rumble_slayer,default_assembly,4,6,false,false
rumble_slayer,default_sandbox,6,6,false,false
rumble_slayer,default_citadel,6,6,false,false
10_min_slayer_br,default_foundry,6,5,false,false
10_min_slayer_br,default_rats_nest,6,4,false,false
10_min_slayer_br,default_standoff,6,4,false,false
10_min_slayer_br,default_blackout,6,8,false,false
10_min_slayer_br,default_ghost_town,6,8,false,false
10_min_slayer_br,default_cold_storage,6,8,false,false
10_min_slayer_br,default_assembly,4,6,false,false
10_min_slayer_br,default_sandbox,6,6,false,false
10_min_slayer_br,default_heretic,6,8,false,false
rumble_oddball,default_guardian,4,2,false,false
rumble_oddball,default_blackout,6,5,false,false
rumble_oddball,default_ghost_town,6,5,false,false
rumble_oddball,default_cold_storage,6,2,false,false
rumble_oddball,default_assembly,4,5,false,false
rumble_oddball,default_heretic,4,4,false,false
ninjaball,default_guardian,4,2,true,false
ninjaball,ffa_snowbound,4,2,true,false
ninjaball,default_construct,4,2,true,false
ninjaball,default_assembly,4,2,true,false
rumble_crazy_king,default_narrows,4,2,false,false
rumble_crazy_king,default_the_pit,4,2,false,false
rumble_crazy_king,default_guardian,4,2,false,false
rumble_crazy_king,default_assembly,4,2,false,false
mosh_pit_king,default_guardian,4,2,true,false
mosh_pit_king,default_narrows,4,2,true,false
mosh_pit_king,default_the_pit,4,2,true,false
juggernaut,default_narrows,6,2,false,false
juggernaut,year2_the_pit_pitstop,6,2,false,false
juggernaut,year2_epitaph_epilogue,6,2,false,false
juggernaut,default_guardian,6,2,false,false
rumble_swords,default_guardian,4,2,true,false
rumble_swords,ffa_snowbound,4,2,true,false
rumble_swords,default_epitaph,4,2,true,false
rumble_swords,default_narrows,4,2,true,false
rumble_swords,swat_pit,4,2,true,false
rumble_swords,default_construct,4,2,true,false
rumble_swords,default_blackout,6,2,true,false
rumble_swords,default_ghost_town,6,2,true,false
rumble_swords,default_cold_storage,6,2,true,false
rumble_swords,default_citadel,6,2,true,false
braaaains,inf_foundry_haunted_manor,6,3,false,false
braaaains,inf_rats_nest_bubonic,6,3,false,false
braaaains,inf_blackout_deadlock,6,3,false,false
braaaains,inf_ghost_town_ghoul_town,6,3,false,false
braaaains,inf_cold_storage_rigor_mortis,6,3,false,false
braaaains,inf_assembly_dismember,6,3,false,false
save_one_bullet,inf_orbital_andromeda,6,4,false,false
save_one_bullet,inf_sandbox_spookyhouse,6,4,false,false
save_one_bullet,inf_longshore_deaddocks,8,5,false,false
