map_variant_file_name,game_variant_file_name,weight,minimum_player_count,skip_after_veto,optional
default_assembly,team_slayer,6,6,true,false
default_orbital,team_slayer,4,8,true,false
default_sandbox,team_slayer,5,8,true,false
default_citadel,team_slayer,5,6,false,false
default_heretic,team_slayer,5,6,false,false
default_assembly,team_slayer_br,6,6,true,false
default_orbital,team_slayer_br,5,8,true,false
default_sandbox,team_slayer_br,6,8,true,false
default_citadel,team_slayer_br,6,6,false,false
default_heretic,team_slayer_br,6,6,false,false
default_assembly,multi_flag_ctf_br,2,6,true,false
default_orbital,multi_flag_ctf_br,3,8,true,false
default_sandbox,multi_flag_ctf_br,3,8,true,false
sandbox_punishment,multi_flag_ctf_br,3,8,true,false
default_citadel,multi_flag_ctf_br,3,6,false,false
default_heretic,multi_flag_ctf_br,3,6,false,false
default_orbital,1_side_ctf,2,8,true,false
sandbox_utahmambo,1_side_ctf,2,8,true,false
default_longshore,1_side_ctf,1,8,false,false
default_orbital,1_side_ctf_br,2,8,true,false
sandbox_utahmambo,1_side_ctf_br,2,8,true,false
default_longshore,1_side_ctf_br,2,8,false,false
default_assembly,neutral_assault,2,6,true,false
default_orbital,neutral_assault,3,8,true,false
default_sandbox,neutral_assault,3,8,true,false
sandbox_punishment,neutral_assault,3,8,true,false
default_orbital,1_side_assault,2,8,true,false
sandbox_utahmambo,1_side_assault,2,8,true,false
default_longshore,1_side_assault,2,8,false,false
