game_variant,map_variant,minimum_players,weight,skip_after_veto,optional
10_min_slayer,default_guardian,4,7,false,false
10_min_slayer,default_epitaph,4,5,false,false
10_min_slayer,ffa_snowbound,4,5,false,false
10_min_slayer,default_construct,4,4,false,false
10_min_slayer,default_the_pit,4,3,false,false
10_min_slayer,year2_the_pit_pitstop,4,4,false,false
10_min_slayer,default_high_ground,4,4,false,false
10_min_slayer,default_isolation,4,3,false,false
10_min_slayer,default_foundry,4,4,false,true
10_min_slayer,foundry_anvil,4,2,true,true
10_min_slayer,default_blackout,4,7,false,true
10_min_slayer,default_citadel,4,5,false,true
10_min_slayer,default_heretic,4,5,false,true
10_min_oddball,default_guardian,4,4,false,false
10_min_oddball,year2_snowbound_boundless,4,2,false,false
10_min_oddball,year2_epitaph_epilogue,4,2,false,false
10_min_oddball,default_construct,4,1,false,false
10_min_oddball,default_foundry,4,2,false,true
10_min_oddball,default_blackout,4,6,false,true
10_min_oddball,default_citadel,4,6,false,true
10_min_oddball,default_heretic,4,6,false,true
10_min_crazy_king,default_guardian,4,2,false,false
10_min_crazy_king,ffa_snowbound,4,1,false,false
10_min_crazy_king,year2_epitaph_epilogue,4,2,false,false
10_min_crazy_king,default_isolation,4,1,false,false
10_min_crazy_king,default_narrows,4,1,false,false
10_min_crazy_king,default_the_pit,4,2,false,false
10_min_crazy_king,default_foundry,4,2,false,true
10_min_crazy_king,default_citadel,4,2,false,true
10_min_crazy_king,default_heretic,4,2,false,true
rumble_swords,default_guardian,4,1,false,false
rumble_swords,ffa_snowbound,4,1,false,false
rumble_swords,default_epitaph,4,1,false,false
rumble_swords,swat_pit,4,1,false,false
rumble_swords,default_citadel,4,1,false,true
rumble_swords,default_heretic,4,1,false,true
10_min_slayer_br,default_guardian,4,4,false,false
10_min_slayer_br,year2_snowbound_boundless,4,3,false,false
10_min_slayer_br,year2_epitaph_epilogue,4,2,false,false
10_min_slayer_br,default_construct,4,3,false,false
10_min_slayer_br,default_narrows,4,2,false,false
10_min_slayer_br,year2_the_pit_pitstop,4,4,false,false
10_min_slayer_br,default_isolation,4,2,false,false
10_min_slayer_br,default_foundry,4,3,false,true
10_min_slayer_br,foundry_anvil,4,2,true,true
10_min_slayer_br,default_blackout,4,5,false,true
10_min_slayer_br,default_citadel,4,6,false,true
10_min_slayer_br,default_heretic,4,6,false,true
