map_variant_file_name,game_variant_file_name,weight,minimum_player_count,skip_after_veto,optional
default_blackout,5_min_slayer_br,1,1,false,false
default_citadel,5_min_slayer_br,1,4,false,false
default_cold_storage,5_min_slayer_br,1,1,false,false
default_guardian,5_min_slayer_br,1,1,false,false
default_construct,5_min_slayer_br,1,4,false,false
default_ghost_town,5_min_slayer_br,1,5,false,false
default_assembly,5_min_slayer_br,1,5,false,false
default_heretic,5_min_slayer_br,1,1,false,false
year2_epitaph_epilogue,5_min_slayer_br,1,1,false,false
default_the_pit,5_min_slayer_br,1,3,false,false
default_isolation,5_min_slayer_br,5,4,false,false
year2_snowbound_boundless,slayer_br,8,6,false,false
default_heretic,slayer_br,6,5,false,false
default_citadel,slayer_br,6,5,false,false
foundry_anvil,slayer_br,6,5,false,false
default_construct,slayer_br,6,5,false,false
default_ghost_town,slayer_br,7,6,false,false
default_guardian,slayer_br,7,6,false,false
year2_the_pit_pitstop,slayer_br,7,6,false,false
default_longshore,slayer_br,13,11,false,false
default_isolation,slayer_br,7,6,false,false
default_rats_nest,slayer_br,13,11,false,false
default_last_resort,snipers,14,13,false,false
default_foundry,5_min_oddball,1,2,false,false
default_blackout,5_min_oddball,1,2,false,false
default_guardian,5_min_oddball,1,2,false,false
year2_snowbound_boundless,5_min_oddball,1,3,false,false
default_blackout,5_min_fiesta,1,1,false,false
default_citadel,5_min_fiesta,1,3,false,false
default_cold_storage,5_min_fiesta,1,3,false,false
default_construct,5_min_fiesta,1,5,false,false
year2_epitaph_epilogue,5_min_fiesta,1,2,false,false
default_guardian,5_min_fiesta,1,1,false,false
default_heretic,5_min_fiesta,1,2,false,false
default_the_pit,5_min_fiesta,1,3,false,false
mlg_ffa_reactor,5_min_mlg_ffa,5,4,false,false
mlg_heretic_v8,5_min_mlg_ffa,5,4,false,false
mlg_ffa_citadel,5_min_mlg_ffa,6,5,false,false
mlg_ffa_ldown,5_min_mlg_ffa,6,5,false,false
mlg_guardian_v8,5_min_mlg_ffa,7,5,false,false
mlg_the_pit_v8,5_min_mlg_ffa,7,5,false,false
year2_epitaph_epilogue,juggernaut,5,4,false,false
default_foundry,juggernaut,5,4,false,false
sniper_construct_snipestruct,snipers,6,5,false,false
year2_snowbound_boundless,snipers,6,5,false,false
year2_snowbound_boundless,5_min_slayer_br,6,5,false,false
year2_epitaph_epilogue,snipers,4,3,false,false
sniper_narrows_sniper_bridge,snipers,5,4,false,false
sniper_heretic,snipers,1,1,false,false
sniper_guardian_sniper_guardian,snipers,1,1,false,false
sniper_the_pit_sniper_stop,snipers,4,4,false,false
default_foundry,snipers,4,3,false,false
sniper_longshore,snipers,13,12,false,false
sniper_rats_nest_snipers_nest,snipers,13,12,false,false
default_last_resort,snipers,15,14,false,false
